Blocks,Total,Func,Module
0,3,"getIntArg","Enclave/sqlite3.o"
0,32,"getOverflowPage","Enclave/sqlite3.o"
0,1,"getPageError","Enclave/sqlite3.o"
0,26,"getPageMMap","Enclave/sqlite3.o"
0,55,"getPageNormal","Enclave/sqlite3.o"
0,61,"getRowTrigger","Enclave/sqlite3.o"
0,13,"getSafetyLevel","Enclave/sqlite3.o"
0,3,"getTextArg","Enclave/sqlite3.o"
0,1,"get_base",""
0,1,"get_dyn_info_list_addr",""
0,7,"get_dynamic_layout_by_id",""
0,4,"get_dynamic_stack_max_page",""
0,1,"get_encoding",""
0,12,"get_rs_cache",""
0,1,"get_rsrv_base",""
0,6,"get_rsrv_min_size",""
0,7,"get_rsrv_size",""
0,1,"get_stack_guard",""
0,1,"get_static_proc_name",""
0,5,"get_sym",""
0,6,"get_type_info_entry",""
0,1,"get_xfeature_state",""
0,5,"getcwd","Enclave/ocall_interface.o"
0,5,"getenv","Enclave/ocall_interface.o"
0,5,"geteuid","Enclave/ocall_interface.o"
0,1,"getpagesize",""
0,5,"getpid","Enclave/ocall_interface.o"
0,3,"gettimeofday","Enclave/ocall_interface.o"
0,9,"groupConcatFinalize","Enclave/sqlite3.o"
0,13,"groupConcatStep","Enclave/sqlite3.o"
0,3,"growOp3","Enclave/sqlite3.o"
0,11,"growOpArray.isra.0","Enclave/sqlite3.o"
0,6,"growVTrans","Enclave/sqlite3.o"
0,7,"handleDeferredMoveto","Enclave/sqlite3.o"
0,10,"handleMovedCursor","Enclave/sqlite3.o"
0,1,"hash",""
0,8,"havingToWhereExprCb","Enclave/sqlite3.o"
0,13,"heap_init",""
0,7,"heightOfExprList.part.0","Enclave/sqlite3.o"
0,22,"heightOfSelect","Enclave/sqlite3.o"
0,7,"hexFunc","Enclave/sqlite3.o"
0,24,"identPut","Enclave/sqlite3.o"
0,3,"incrAggDepth","Enclave/sqlite3.o"
0,41,"incrVacuumStep","Enclave/sqlite3.o"
0,46,"init_enclave",""
0,52,"init_ipp_cpuid",""
0,10,"init_optimized_libs",""
0,35,"insertCell","Enclave/sqlite3.o"
0,26,"instrFunc","Enclave/sqlite3.o"
0,1,"integrityCheckResultRow","Enclave/sqlite3.o"
0,23,"internal_handle_exception",""
0,9,"invalidateIncrblobCursors.isra.0.part.0","Enclave/sqlite3.o"
0,6,"invalidateTempStorage","Enclave/sqlite3.o"
0,7,"invokeProfileCallback","Enclave/sqlite3.o"
0,5,"invokeValueDestructor","Enclave/sqlite3.o"
0,1,"ippcpSetCpuFeatures",""
0,5,"isCXXException",""
0,135,"isDate","Enclave/sqlite3.o"
0,1,"isDependentException",""
0,6,"isSystemTable","Enclave/sqlite3.o"
0,7,"is_cie_id",""
0,11,"is_dynamic_thread",""
0,6,"is_dynamic_thread_exist",""
0,1,"is_indirect",""
0,12,"is_plt_entry",""
0,5,"is_remote_table",""
0,6,"is_stack_addr",""
0,5,"is_utility_thread",""
0,5,"is_valid_sp",""
0,7,"juliandayFunc","Enclave/sqlite3.o"
0,8,"keyInfoFromExprList","Enclave/sqlite3.o"
0,12,"keywordCode.part.0","Enclave/sqlite3.o"
0,1,"labs",""
0,3,"last_insert_rowid","Enclave/sqlite3.o"
0,1,"length",""
0,25,"lengthFunc","Enclave/sqlite3.o"
0,28,"likeFunc","Enclave/sqlite3.o"
0,16,"linear_search",""
0,4,"loadAnalysis","Enclave/sqlite3.o"
0,10,"loadExt","Enclave/sqlite3.o"
0,4,"loadLandingPad",""
0,8,"local_find_proc_info",""
0,3,"localtime","Enclave/ocall_interface.o"
0,10,"localtimeOffset","Enclave/sqlite3.o"
0,1,"lock_enclave",""
0,3,"logic_error",""
0,5,"longjmp",""
0,9,"lookup",""
0,5,"low_32_bits",""
0,7,"lowerFunc","Enclave/sqlite3.o"
0,5,"lseek64","Enclave/ocall_interface.o"
0,4,"mark_as_used",""
0,9,"matchQuality","Enclave/sqlite3.o"
0,5,"measureAllocationSize","Enclave/sqlite3.o"
0,3,"memIntValue","Enclave/sqlite3.o"
0,3,"memRealValue","Enclave/sqlite3.o"
0,1,"memchr",""
0,1,"memcmp",""
0,4,"memjrnlClose","Enclave/sqlite3.o"
0,1,"memjrnlFileSize","Enclave/sqlite3.o"
